stars,date,review
4.0,2024-01-28,조카선물로 구매했습니다 좋은선물이 되었어요
4.0,2024-01-28,너무 재미있고 겨울의 선물 에디션 사은품?도 생각보다 괜찮았어요
4.0,2024-01-26,잠 못 잘뻔 했어요… 표지도 너무 힐링
3.0,2024-01-26,마지막 결말이 아쉬워요. 급하게 마무리된 느낌이네요.
4.0,2024-01-24,아이들이 좋아힙니다
4.0,2024-01-24,감명 깊게 잘 읽었어요~
4.0,2024-01-22,유용합니다. 잘 활용하겠습니다.
4.0,2024-01-21,마음이 따뜻해지고 깊은 울림을 주는 책 이였어요❥･•
4.0,2024-01-20,"글이 술술 읽히고 재밌어요.
괜히 베스트셀러가 아니네요."
4.0,2024-01-19,아이 방학이라 심심할때 봐요
4.0,2024-01-19,아이가 틈틈이 보고 있네요
4.0,2024-01-18,"제목이 마음에 끌렸어요, 주문한 책 도착하면 바로 읽을겁니다."
4.0,2024-01-16,재밌는 책 오랜만에 읽었고 너무 재밌었습니다
4.0,2024-01-15,그냥 일상속 편의점에서 문제해결해 나가는 모습이 힐링되네요
4.0,2024-01-12,불편한 편의점 재밌네요 ㅎㅎ
4.0,2024-01-12,불편한 편의점 재밌어요 ㅎㅎ
4.0,2024-01-11,조카 선물했는데  참 좋아했습니다.
3.0,2024-01-10,배송도 빠르고 힐링돼요~
4.0,2024-01-10,너무 재밌어서 2일만에 1.2 다 읽은 책입니다 ㅎㅎㅎ완전 강추!
4.0,2024-01-09,
4.0,2024-01-08,그냥 일상안에 편의점 이야기를 담아서 술술 읽히고 편안한 마음으로 읽었습니다!
4.0,2024-01-08,겨울에디션 나오기 전에 한 번 읽었던 책 다시 봐도 감동적인소설이에요 힐링 되요
4.0,2024-01-05,읽어보고 편안해지는 책이라 선물용으로 구입합니다
4.0,2024-01-01,재밌어서 순식간에 읽었네요ㅎ
4.0,2023-12-31,선물하려고삿어요 받는이가 좋아하능책
4.0,2023-12-30,3학년 초등학생도 읽고싶어해서 사줬는데 재미있어하네요
